Nome, Matricula, Email, Senha, Turma, Coordenadoria
Henrique Almeida, 2021122760046, almeida.hnr@gmail.com, sistemas123, 1, 2
Maria Santos, 2021122760047, maria.santos@gmail.com, senha123, 1, 1
João Silva, 2021122760048, joao.silva@gmail.com, senha456, 2, 1
Ana Pereira, 2021122760049, ana.pereira@gmail.com, senha789, 1, 1
Carlos Eduardo, 2021122760050, carlos.eduardo@gmail.com, senha321, 2, 2
Beatriz Costa, 2021122760051, beatriz.costa@gmail.com, senha654, 1, 1
Felipe Oliveira, 2021122760052, felipe.oliveira@gmail.com, senha987, 2, 2
Camila Rodrigues, 2021122760053, camila.rodrigues@gmail.com, senha000, 1, 2
Gustavo Lima, 2021122760054, gustavo.lima@gmail.com, senha111, 2, 1
Larissa Gomes, 2021122760055, larissa.gomes@gmail.com, senha222, 1, 1
